name,version,latestVersion,repository,published,publisher,size,license,isProd,isDev,isOptional,isPeer,isBundled,parents
"backend-blog","0.0.1","-","-","-","-","-","-",false,false,false,false,false,""
"@ampproject/remapping","2.2.0","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.18.9"
"@angular-devkit/core","13.3.6","-","-","-","-","-","-",false,true,false,false,false,"@angular-devkit/schematics@13.3.6,@angular-devkit/schematics-cli@13.3.6,@nestjs/cli@8.2.8"
"rxjs","6.6.7","7.8.0","git+https://github.com/reactivex/rxjs.git","2021-03-28T23:13:44.848Z","blesh (ben@benlesh.com)",5125315,"Apache-2.0",true,true,false,true,false,"@angular-devkit/core@13.3.5,@angular-devkit/schematics@13.3.5,inquirer@7.3.3,@nestjs/config@2.2.0"
"tslib","1.14.1","2.5.0","git+https://github.com/Microsoft/tslib.git","2020-10-09T23:34:42.516Z","typescript-bot (typescript@microsoft.com)",33965,"0BSD",true,true,false,true,false,"rxjs@6.6.7,tsutils@3.21.0"
"@angular-devkit/schematics","13.3.6","-","-","-","-","-","-",false,true,false,false,false,"@angular-devkit/schematics-cli@13.3.6,@nestjs/cli@8.2.8"
"@angular-devkit/schematics-cli","13.3.6","-","-","-","-","-","-",false,true,false,false,false,"@nestjs/cli@8.2.8"
"chalk","4.1.2","5.2.0","git+https://github.com/chalk/chalk.git","2021-07-30T12:02:52.839Z","sindresorhus (sindresorhus@gmail.com)",35047,"MIT",true,true,false,true,false,"inquirer@7.3.3,@jest/console@27.5.1,@jest/core@27.5.1,@jest/reporters@27.5.1,@jest/transform@27.5.1,@jest/types@27.5.1,@nuxtjs/opencollective@0.3.2,babel-jest@27.5.1,cli-highlight@2.1.11,eslint@8.20.0,fork-ts-checker-webpack-plugin@7.2.11,jest-circus@27.5.1,jest-cli@27.5.1,jest-config@27.5.1,jest-diff@27.5.1,jest-each@27.5.1,jest-jasmine2@27.5.1,jest-matcher-utils@27.5.1,jest-message-util@27.5.1,jest-resolve@27.5.1,jest-runner@27.5.1,jest-runtime@27.5.1,jest-snapshot@27.5.1,jest-util@27.5.1,jest-validate@27.5.1,jest-watcher@27.5.1,log-symbols@4.1.0,ora@5.4.1,ts-loader@9.3.1,tsconfig-paths-webpack-plugin@3.5.2,typeorm@0.3.7"
"inquirer","8.2.0","-","-","-","-","-","-",false,true,false,false,false,"@angular-devkit/schematics-cli@13.3.6"
"@babel/code-frame","7.18.6","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.18.9,@babel/template@7.18.6,@babel/traverse@7.18.9,fork-ts-checker-webpack-plugin@7.2.11,jest-message-util@27.5.1,parse-json@5.2.0"
"@babel/compat-data","7.18.8","-","-","-","-","-","-",false,true,false,false,false,"@babel/helper-compilation-targets@7.18.9"
