name,version,latestVersion,repository,published,publisher,size,license,isProd,isDev,isOptional,isPeer,isBundled,parents
"nestjs-blog","1.0.1","-","-","-","-","-","-",false,false,false,false,false,""
"ansi-regex","5.0.1","-","-","-","-","-","-",false,true,false,false,false,"strip-ansi@6.0.1"
"ansi-styles","4.3.0","-","-","-","-","-","-",false,true,false,false,false,"chalk@4.1.2,wrap-ansi@7.0.0"
"asynckit","0.4.0","0.4.0","git+https://github.com/alexindigo/asynckit.git","2016-06-14T18:29:05.418Z","alexindigo (iam@alexindigo.com)","-","MIT",true,false,false,false,false,"form-data@4.0.0"
"axios","1.2.1","1.3.6","git+https://github.com/axios/axios.git","2022-12-05T19:39:11.122Z","jasonsaayman (jasonsaayman@gmail.com)",1644553,"MIT",true,false,false,false,false,"nestjs-blog@1.0.1"
"chalk","4.1.2","-","-","-","-","-","-",false,true,false,false,false,"concurrently@7.3.0"
"supports-color","7.2.0","-","-","-","-","-","-",false,true,false,false,false,"chalk@4.1.2"
"cliui","7.0.4","-","-","-","-","-","-",false,true,false,false,false,"yargs@17.5.1"
"color-convert","2.0.1","-","-","-","-","-","-",false,true,false,false,false,"ansi-styles@4.3.0"
"color-name","1.1.4","-","-","-","-","-","-",false,true,false,false,false,"color-convert@2.0.1"
"combined-stream","1.0.8","1.0.8","git://github.com/felixge/node-combined-stream.git","2019-05-12T17:49:45.337Z","alexindigo (iam@alexindigo.com)",11514,"MIT",true,false,false,false,false,"form-data@4.0.0"
"concurrently","7.3.0","-","-","-","-","-","-",false,true,false,false,false,"nestjs-blog@1.0.1"
"date-fns","2.29.1","-","-","-","-","-","-",false,true,false,false,false,"concurrently@7.3.0"
"delayed-stream","1.0.0","1.0.0","git://github.com/felixge/node-delayed-stream.git","2015-04-30T22:10:29.726Z","apechimp (apeherder@gmail.com)","-","MIT",true,false,false,false,false,"combined-stream@1.0.8"
"emoji-regex","8.0.0","-","-","-","-","-","-",false,true,false,false,false,"string-width@4.2.3"
"escalade","3.1.1","-","-","-","-","-","-",false,true,false,false,false,"yargs@17.5.1"
"follow-redirects","1.15.2","1.15.2","git+ssh://git@github.com/follow-redirects/follow-redirects.git","2022-09-13T15:04:19.298Z","rubenverborgh (ruben@verborgh.org)",28287,"MIT",true,false,false,false,false,"axios@1.2.1"
"form-data","4.0.0","4.0.0","git://github.com/form-data/form-data.git","2021-02-15T17:38:54.740Z","niftylettuce (niftylettuce@gmail.com)",43381,"MIT",true,false,false,false,false,"axios@1.2.1"
"get-caller-file","2.0.5","-","-","-","-","-","-",false,true,false,false,false,"yargs@17.5.1"
"has-flag","4.0.0","-","-","-","-","-","-",false,true,false,false,false,"supports-color@8.1.1"
"is-fullwidth-code-point","3.0.0","-","-","-","-","-","-",false,true,false,false,false,"string-width@4.2.3"
"js-tokens","4.0.0","8.0.1","git+https://github.com/lydell/js-tokens.git","2018-01-28T11:58:58.170Z","lydell (simon.lydell@gmail.com)","-","MIT",true,false,false,true,false,"loose-envify@1.4.0"
"lodash","4.17.21","-","-","-","-","-","-",false,true,false,false,false,"concurrently@7.3.0"
"loose-envify","1.4.0","1.4.0","git://github.com/zertosh/loose-envify.git","2018-07-10T11:09:45.917Z","zertosh (zertosh@gmail.com)",5814,"MIT",true,false,false,true,false,"react@18.2.0,react-dom@18.2.0,scheduler@0.23.0"
"mime-db","1.52.0","1.52.0","git+https://github.com/jshttp/mime-db.git","2022-02-21T19:41:51.123Z","dougwilson (doug@somethingdoug.com)",205539,"MIT",true,false,false,false,false,"mime-types@2.1.35"
"mime-types","2.1.35","2.1.35","git+https://github.com/jshttp/mime-types.git","2022-03-12T18:04:43.042Z","dougwilson (doug@somethingdoug.com)",18272,"MIT",true,false,false,false,false,"form-data@4.0.0"
"proxy-from-env","1.1.0","1.1.0","git+https://github.com/Rob--W/proxy-from-env.git","2020-03-04T03:35:19.815Z","rob-w (rob@robwu.nl)",29452,"MIT",true,false,false,false,false,"axios@1.2.1"
"react","18.2.0","18.2.0","git+https://github.com/facebook/react.git","2022-06-14T19:46:38.369Z","gnoff (jcs.gnoff@gmail.com)",316108,"MIT",true,false,false,true,false,"react-dom@18.2.0,react-spinners@0.13.7"
"react-dom","18.2.0","18.2.0","git+https://github.com/facebook/react.git","2022-06-14T19:46:48.370Z","gnoff (jcs.gnoff@gmail.com)",4502126,"MIT",true,false,false,true,false,"react-spinners@0.13.7"
